sample_stamp_sec,sample_stamp_nanosec,actual_pos_stamp_sec,actual_pos_stamp_nanosec,actual_pos_x,actual_pos_y,actual_pos_z,target_pos_stamp_sec,target_pos_stamp_nanosec,target_pos_x,target_pos_y,target_pos_z,distance,distance_sum,hdg,hdg_target,hdg_distance,hdg_distance_total
1789313340,195872139,1789313340,194286857,58.190284729003906,21.74233055114746,100.9648666381836,1789313340,192178052,60.47519862545283,22.55777907792922,150.8738353078606,49.967899,1727.063072,97.57724537935113,214.3461151123047,116.76886973295356,4975.0110484073875
1789313340,695865140,1789313340,690970148,58.72743225097656,21.937028884887695,101.96241760253906,1789313340,692182706,61.203051144930754,22.819984914469934,151.7087595572067,49.815729,1776.878801,97.57575298301748,214.08477783203125,116.50902484901377,5091.520073256402
1789313341,195827047,1789313341,194106992,59.32274627685547,22.153369903564453,102.96719360351562,1789313341,192195333,61.92692990387576,23.082842689931766,152.48883666977318,49.598778,1826.477579,97.57521852071493,213.84027099609375,116.26505247537882,5207.785125731781
1789313341,695894057,1789313341,692337770,59.95934295654297,22.383268356323242,103.96859741210938,1789313341,692150626,62.646674590515175,23.34632360666479,153.21399212425212,49.328066,1875.805645,97.5746131951997,213.6150665283203,116.04045333312061,5323.825579064901
1789313342,195976817,1789313342,193368737,60.62797164916992,22.624467849731445,104.96884155273438,1789313342,192199182,63.36242497824827,23.61050888864687,153.88449387629623,49.001944,1924.807590,97.57766372843778,213.41143798828125,115.83377425984347,5439.659353324744
1789313342,695774602,1789313342,694610735,61.32075500488281,22.875093460083008,105.9677505493164,1789313342,692217167,64.07390456901905,23.875326659120105,154.50025108976416,48.620818,1973.428407,97.57875143606311,213.23178100585938,115.65302956979626,5555.312382894541
1789313343,195765416,1789313343,194867235,62.03419876098633,23.133329391479492,106.9727554321289,1789313343,192184773,64.78103332537879,24.140776399311846,155.06142712771134,48.177592,2021.606000,97.57438353008888,213.07830810546875,115.50392457537987,5670.8163074699205
1789313343,695928069,1789313343,690847446,62.75358581542969,23.394813537597656,107.97610473632812,1789313343,692577606,65.48440432446964,24.407113305545053,155.5686955495117,47.681619,2069.287619,97.57170011951872,212.95306396484375,115.38136384532503,5786.197671315245
1789313344,195898128,1789313344,190913053,63.47600173950195,23.65842628479004,108.97493743896484,1789313344,192207228,66.18225490547155,24.673697482591948,156.02114115301777,47.134911,2116.422530,97.5709411147472,212.8583984375,115.2874573227528,5901.485128637998
1789313344,695856750,1789313344,692192339,64.19683074951172,23.923757553100586,109.9686050415039,1789313344,692197512,66.87610730498702,24.941137539071562,156.4201586228005,46.539880,2162.962410,97.57363647814842,212.79603576660156,115.22239928845315,6016.707527926451
1789313345,195821808,1789313345,194181300,64.91743469238281,24.194087982177734,110.96928405761719,1789313345,192215912,67.5654144875877,25.209255497847792,156.765759309371,45.884197,2208.846607,97.57080451096381,212.7679901123047,115.19718560134088,6131.9047135277915
1789313345,695876207,1789313345,445036235,65.27287292480469,24.32909393310547,111.46879577636719,1789313345,692194868,68.25000140023326,25.478013233312055,157.05828538519137,45.701038,2254.547645,97.57053215717065,212.7760772705078,115.20554511333717,6247.110258641129
1789313346,195950216,1789313346,190698609,66.3290023803711,24.734542846679688,112.9687271118164,1789313346,192109303,68.92977154153087,25.747402172021566,157.29817994557533,44.417229,2298.964874,97.56783764754309,212.822021484375,115.25418383683191,6362.36444247796
1789313346,695836124,1789313346,693617175,67.0223617553711,25.00091552734375,113.96662139892578,1789313346,692205767,69.60498536077989,26.017556624291714,157.48602456573323,43.607820,2342.572694,97.56926430330596,212.90748596191406,115.3382216586081,6477.702664136568
